town_population,Town
17961,Abington
23732,Acton
10453,Acushnet
8281,Adams
28604,Agawam
1500,Alford
16645,Amesbury
40498,Amherst
36015,Andover
1500,Aquinnah
45809,Arlington
6280,Ashburnham
3457,Ashby
1500,Ashfield
19493,Ashland
11965,Athol
46268,Attleboro
16492,Auburn
4381,Avon
8080,Ayer
44845,Barnstable
5558,Barre
1800,Becket
13428,Bedford
15923,Belchertown
17876,Bellingham
27306,Belmont
6780,Berkley
3193,Berlin
2091,Bernardston
41167,Beverly
43583,Billerica
9044,Blackstone
1500,Blandford
5053,Bolton
20920,Bourne
5108,Boxborough
7717,Boxford
4489,Boylston
39360,Braintree
9912,Brewster
28447,Bridgewater
3725,Brimfield
98248,Brockton
3662,Brookfield
64384,Brookline
1860,Buckland
27643,Burlington
112786,Cambridge
23065,Canton
4769,Carlisle
12176,Carver
1500,Charlemont
14072,Charlton
5856,Chatham
35982,Chelmsford
37665,Chelsea
1500,Cheshire
1500,Chester
1500,Chesterfield
57015,Chicopee
1500,Chilmark
1683,Clarksburg
14075,Clinton
7400,Cohasset
1500,Colrain
18725,Concord
1500,Conway
1500,Cummington
6522,Dalton
28556,Danvers
36819,Dartmouth
27125,Dedham
5333,Deerfield
13224,Dennis
7846,Dighton
9400,Douglas
5211,Dover
32305,Dracut
12384,Dudley
3332,Dunstable
15133,Duxbury
14756,East Bridgewater
2241,East Brookfield
16915,East Longmeadow
4646,Eastham
16214,Easthampton
23698,Easton
4102,Edgartown
1096,Egremont
2094,Erving
3721,Essex
48536,Everett
16031,Fairhaven
89447,Fall River
31251,Falmouth
42153,Fitchburg
1500,Florida
18113,Foxborough
74466,Framingham
33812,Franklin
9048,Freetown
19990,Gardner
8934,Georgetown
1500,Gill
28625,Gloucester
1500,Goshen
1500,Gosnold
19944,Grafton
6142,Granby
1556,Granville
6796,Great Barrington
17364,Greenfield
11645,Groton
6834,Groveland
5750,Hadley
7641,Halifax
7474,Hamilton
4941,Hampden
1500,Hancock
14325,Hanover
10707,Hanson
3311,Hardwick
6927,Harvard
12563,Harwich
3247,Hatfield
65846,Haverhill
1500,Hawley
1500,Heath
23788,Hingham
1500,Hinsdale
11295,Holbrook
18861,Holden
2560,Holland
13784,Holliston
41204,Holyoke
5679,Hopedale
16314,Hopkinton
4661,Hubbardston
20946,Hudson
9876,Hull
2211,Huntington
13447,Ipswich
13563,Kingston
11291,Lakeville
8568,Lancaster
3046,Lanesborough
88176,Lawrence
5880,Lee
11264,Leicester
4879,Lenox
40592,Leominster
1500,Leverett
34045,Lexington
1500,Leyden
8653,Lincoln
9718,Littleton
15510,Longmeadow
116859,Lowell
20864,Ludlow
10407,Lunenburg
100903,Lynn
11649,Lynnfield
67754,Malden
4946,Manchester
23636,Mansfield
19218,Marblehead
4641,Marion
43439,Marlborough
25860,Marshfield
15378,Mashpee
5781,Mattapoisett
10435,Maynard
11400,Medfield
60814,Medford
13080,Medway
28922,Melrose
5793,Mendon
6390,Merrimac
53551,Methuen
26922,Middleborough
1500,Middlefield
10319,Middleton
29303,Milford
13657,Millbury
7896,Millis
3551,Millville
28630,Milton
1500,Monroe
8435,Monson
8549,Montague
1500,Monterey
1500,Montgomery
1500,Mount Washington
3272,Nahant
11339,Nantucket
35923,Natick
29312,Needham
1500,New Ashford
99555,New Bedford
1500,New Braintree
1530,New Marlborough
1500,New Salem
6649,Newbury
17804,Newburyport
91728,Newton
12346,Norfolk
13057,North Adams
30249,North Andover
30215,North Attleborough
4647,North Brookfield
16535,North Reading
29231,Northampton
13691,Northborough
17984,Northbridge
1500,Northfield
19863,Norton
10705,Norwell
30112,Norwood
5169,Oak Bluffs
2113,Oakham
8163,Orange
5648,Orleans
1500,Otis
13783,Oxford
11894,Palmer
4949,Paxton
55766,Peabody
1500,Pelham
18673,Pembroke
12281,Pepperell
1500,Peru
1267,Petersham
1714,Phillipston
44278,Pittsfield
1500,Plainfield
9124,Plainville
62036,Plymouth
2989,Plympton
3262,Princeton
2624,Provincetown
101140,Quincy
34219,Randolph
14937,Raynham
27484,Reading
12616,Rehoboth
60916,Revere
