zipcode,Town
01331,Athol
01085,Westfield
01370,Shelburne
01235,Hinsdale
02747,Dartmouth
02769,Rehoboth
01267,Williamstown
01008,Blandford
01002,Amherst
01255,Sandisfield
01247,North Adams
02360,Plymouth
01230,Great Barrington
01223,Becket
01034,Granville
02346,Middleborough
01366,Petersham
01201,Pittsfield
01339,Charlemont
01340,Colrain
02790,Westport
01007,Belchertown
01237,Lanesborough
01452,Hubbardston
01368,Royalston
01027,Easthampton
01341,Conway
01562,Spencer
01590,Sutton
01096,Williamsburg
01450,Groton
01026,Cummington
02535,Chilmark
01266,West Stockbridge
01742,Concord
01259,New Marlborough
01082,Ware
02568,Oak Bluffs
02330,Carver
01516,Douglas
01430,Ashburnham
01257,Sheffield
01364,Orange
01378,Warwick
01541,Princeton
01473,Westminster
02554,Nantucket
01543,Rutland
01256,Savoy
02770,Rochester
01360,Northfield
01337,Bernardston
01010,Brimfield
02780,Taunton
01057,Monson
01005,Barre
01475,Winchendon
01507,Charlton
02035,Foxborough
01740,Bolton
01550,Southbridge
01469,Townsend
01468,Templeton
02649,Mashpee
01238,Lee
01810,Andover
01098,Worthington
01938,Ipswich
02093,Wrentham
01095,Wilbraham
01844,Methuen
01240,Lenox
01373,Deerfield
01752,Marlborough
01571,Dudley
01535,North Brookfield
01451,Harvard
01545,Shrewsbury
01581,Westborough
01568,Upton
01068,Oakham
01826,Dracut
02061,Norwell
01540,Oxford
01876,Tewksbury
01531,New Braintree
01083,Warren
01520,Holden
02048,Mansfield
02667,Wellfleet
01720,Acton
01351,Montague
02542,Bourne
01253,Otis
01564,Sterling
01077,Southwick
01886,Westford
01420,Fitchburg
01225,Cheshire
01037,Hardwick
01569,Uxbridge
02766,Norton
02050,Marshfield
01050,Huntington
01073,Southampton
01270,Windsor
01033,Granby
02539,Edgartown
02324,Bridgewater
01056,Ludlow
01301,Greenfield
01566,Sturbridge
01379,Wendell
01748,Hopkinton
01462,Lunenburg
01367,Rowe
02703,Attleboro
01845,North Andover
01330,Ashfield
02536,Falmouth
01930,Gloucester
02038,Franklin
02359,Pembroke
01463,Pepperell
02777,Swansea
01585,West Brookfield
01220,Adams
02748,Dartmouth
01523,Lancaster
01453,Leominster
01431,Ashby
01011,Chester
01440,Gardner
02332,Duxbury
01258,Mount Washington
